,Resource,DefectFixed,NumberRepairs
0,System,false,3
1,Tester,true,3
2,Solver,true,3
3,Solver,true,3
4,Solver,true,3
5,Solver,true,3
6,Solver,false,3
7,Solver,false,3
8,Solver,false,3
9,Solver,false,3
10,Solver,false,3
11,Solver,false,3
12,Solver,false,3
13,Solver,false,3
14,Solver,true,3
15,Solver,true,3
16,Solver,true,3
17,Solver,true,3
18,Solver,false,3
19,Solver,false,3
20,Solver,false,3
21,Solver,false,3
22,Solver,true,3
23,Solver,true,3
24,Solver,true,3
25,Solver,true,3
26,Solver,false,3
27,Solver,false,3
28,Solver,false,3
29,Solver,false,3
30,Solver,true,3
31,Solver,true,3
32,Solver,true,3
33,Solver,true,3
34,Solver,true,3
35,Solver,true,3
36,Solver,true,3
37,Solver,true,3
38,Solver,true,3
39,Solver,true,3
40,Solver,true,3
41,Solver,true,3
42,Solver,false,3
43,Solver,false,3
44,Solver,false,3
45,Solver,false,3
46,Solver,false,3
47,Solver,false,3
48,Solver,false,3
49,Solver,false,3
50,Solver,true,3
51,Solver,true,3
52,Solver,true,3
53,Solver,true,3
54,Solver,false,3
55,Solver,false,3
56,Solver,false,3
57,Solver,false,3
58,Solver,true,3
59,Solver,true,3
60,Solver,true,3
61,Solver,true,3
62,Solver,false,3
63,Solver,false,3
64,Solver,false,3
65,Solver,false,3
66,Solver,true,3
67,Solver,true,3
68,Solver,true,3
69,Solver,true,3
70,Solver,true,3
71,Solver,true,3
72,Solver,true,3
73,Solver,true,3
74,Solver,true,3
75,Solver,true,3
76,Solver,true,3
77,Solver,true,3
78,Solver,false,3
79,Solver,false,3
80,Solver,false,3
81,Solver,false,3
82,Solver,false,3
83,Solver,false,3
84,Solver,false,3
85,Solver,false,3
86,Solver,true,3
87,Solver,true,3
88,Solver,true,3
89,Solver,true,3
90,Solver,false,3
91,Solver,false,3
92,Solver,false,3
93,Solver,false,3
94,Solver,false,3
95,Solver,false,3
96,Solver,false,3
97,Solver,false,3
98,Solver,true,3
99,Solver,true,3
100,Solver,true,3
101,Solver,true,3
102,Solver,false,3
103,Solver,false,3
104,Solver,false,3
105,Solver,false,3
106,Solver,true,3
107,Solver,true,3
108,Solver,true,3
109,Solver,true,3
110,Solver,false,3
111,Solver,false,3
112,Solver,false,3
113,Solver,false,3
114,Solver,false,3
115,Solver,false,3
116,Solver,false,3
117,Solver,false,3
118,Solver,true,3
119,Solver,true,3
120,Solver,true,3
121,Solver,true,3
122,Solver,false,3
123,Solver,false,3
124,Solver,false,3
125,Solver,false,3
126,Solver,true,3
127,Solver,true,3
128,Solver,true,3
129,Solver,true,3
130,Solver,false,3
131,Solver,false,3
132,Solver,false,3
133,Solver,true,3
134,Solver,true,3
135,Solver,true,3
136,Solver,true,3
137,Solver,true,3
138,Solver,true,3
139,Solver,false,3
140,Solver,false,3
141,Solver,false,3
142,Solver,false,3
143,Solver,false,3
144,Solver,false,3
145,Solver,false,3
146,Solver,false,3
147,Solver,false,3
148,Solver,true,3
149,Solver,true,3
150,Solver,true,3
151,Solver,true,3
152,Solver,true,3
153,Solver,true,3
154,Solver,false,3
155,Solver,false,3
156,Solver,false,3
157,Solver,false,3
158,Solver,false,3
159,Solver,false,3
160,Solver,true,3
161,Solver,true,3
162,Solver,true,3
163,Solver,true,3
164,Solver,true,3
165,Solver,true,3
166,Solver,false,3
167,Solver,false,3
168,Solver,false,3
169,Solver,false,3
170,Solver,false,3
171,Solver,false,3
172,Solver,false,3
173,Solver,false,3
174,Solver,false,3
175,Solver,true,3
176,Solver,true,3
177,Solver,true,3
178,Solver,true,3
179,Solver,true,3
180,Solver,true,3
181,Solver,false,3
182,Solver,false,3
183,Solver,false,3
184,Solver,true,3
185,Solver,true,3
186,Solver,true,3
187,Solver,true,3
188,Solver,true,3
189,Solver,true,3
190,Solver,true,3
191,Solver,true,3
192,Solver,true,3
193,Solver,true,3
194,Solver,true,3
195,Solver,true,3
196,Solver,false,3
197,Solver,false,3
198,Solver,false,3
199,Solver,false,3
200,Solver,false,3
201,Solver,false,3
202,Solver,false,3
203,Solver,false,3
204,Solver,false,3
205,Solver,false,3
206,Solver,false,3
207,Solver,false,3
208,Solver,false,3
209,Solver,false,3
210,Solver,false,3
211,Solver,true,3
212,Solver,true,3
213,Solver,true,3
214,Solver,true,3
215,Solver,true,3
216,Solver,true,3
217,Solver,true,3
218,Solver,true,3
219,Solver,true,3
220,Solver,true,3
221,Solver,true,3
222,Solver,true,3
223,Solver,false,3
224,Solver,false,3
225,Solver,false,3
226,Solver,false,3
227,Solver,false,3
228,Solver,false,3
229,Solver,false,3
230,Solver,false,3
231,Solver,false,3
232,Solver,false,3
233,Solver,false,3
234,Solver,false,3
235,Solver,true,3
236,Solver,true,3
237,Solver,true,3
238,Solver,true,3
239,Solver,true,3
240,Solver,true,3
241,Solver,true,3
242,Solver,true,3
243,Solver,true,3
244,Solver,true,3
245,Solver,true,3
246,Solver,true,3
247,Solver,false,3
248,Solver,false,3
249,Solver,false,3
250,Solver,false,3
251,Solver,false,3
252,Solver,false,3
253,Solver,false,3
254,Solver,false,3
255,Solver,false,3
256,Solver,false,3
257,Solver,false,3
258,Solver,false,3
259,Solver,false,3
260,Solver,false,3
261,Solver,false,3
262,Solver,true,3
263,Solver,true,3
264,Solver,true,3
265,Solver,true,3
266,Solver,true,3
267,Solver,true,3
268,Solver,true,3
269,Solver,true,3
270,Solver,true,3
271,Solver,true,3
272,Solver,true,3
273,Solver,true,3
274,Solver,false,3
275,Solver,false,3
276,Solver,false,3
277,Solver,false,3
278,Solver,false,3
279,Solver,false,3
280,Solver,true,3
281,Solver,true,3
282,Solver,true,3
283,Solver,true,3
284,Solver,true,3
285,Solver,true,3
286,Solver,false,3
287,Solver,false,3
288,Solver,false,3
289,Solver,false,3
290,Solver,false,3
291,Solver,false,3
292,Solver,false,3
293,Solver,false,3
294,Solver,false,3
295,Solver,true,3
296,Solver,true,3
297,Solver,true,3
298,Solver,true,3
299,Solver,true,3
300,Solver,true,3
301,Solver,false,3
302,Solver,false,3
303,Solver,false,3
304,Solver,false,3
305,Solver,false,3
306,Solver,false,3
307,Solver,true,3
308,Solver,true,3
309,Solver,true,3
310,Solver,true,3
311,Solver,true,3
312,Solver,true,3
313,Solver,false,3
314,Solver,false,3
315,Solver,false,3
316,Solver,false,3
317,Solver,false,3
318,Solver,false,3
319,Solver,true,3
320,Solver,true,3
321,Solver,true,3
322,Solver,true,3
323,Solver,true,3
324,Solver,true,3
325,Solver,true,3
326,Solver,true,3
327,Solver,true,3
328,Tester,true,3
329,Tester,true,3
330,Tester,true,3
331,Solver,false,3
332,System,true,3
333,System,true,3
334,System,true,3
335,Solver,true,1
336,Solver,true,1
337,Solver,false,0
338,Solver,false,0
339,Solver,false,3
340,Solver,true,3
341,Solver,true,3
342,Solver,false,3
343,Solver,false,3
344,Solver,true,3
345,Solver,true,3
346,Solver,false,3
347,System,false,2
348,System,true,0
349,System,true,0
350,System,false,1
351,System,false,3
352,System,true,3
353,System,true,3
354,System,false,3
355,System,false,3
356,System,true,3
357,System,true,3
358,System,false,3
359,Tester,false,3
360,Tester,true,1
361,Tester,true,0
362,Tester,false,0
363,Tester,false,1
364,Tester,false,3
365,Tester,true,3
366,Tester,true,3
367,Tester,false,3
368,Tester,false,3
369,Tester,true,3
370,Tester,true,3
371,Solver,false,3
372,Solver,false,3
373,Solver,false,3
374,Solver,false,3
375,Solver,false,3
376,Solver,true,3
377,Solver,false,3
378,Solver,false,3
379,Solver,true,3
380,Solver,true,3
381,Solver,true,3
382,Solver,false,3
383,System,true,3
384,System,true,3
385,System,false,3
386,System,false,3
387,System,true,3
388,System,false,3
389,System,true,3
390,System,false,3
391,Tester,true,3
392,Tester,true,3
393,Tester,true,3
394,System,true,3
395,System,true,3
396,System,true,0
397,System,true,3
398,System,true,2
399,System,true,3
400,System,true,3
401,System,true,3
402,System,true,3
403,System,true,0
404,System,true,3
405,System,true,2
406,Tester,true,3
407,Tester,true,3
408,Tester,true,3
409,Tester,true,2
410,Tester,true,3
411,Tester,true,1
412,Tester,true,3
413,Tester,true,2
414,Tester,true,3
415,Tester,true,3
416,Tester,true,0
417,Tester,true,3
418,Tester,true,3
419,System,true,3
420,System,true,3
421,System,true,3
422,System,true,3
423,Tester,true,3
424,Tester,true,3
425,Tester,true,3
426,Tester,true,3
427,System,true,3
428,System,true,3
429,Tester,true,3
430,Tester,true,3
431,System,true,3
432,System,false,3
433,System,false,3
434,System,true,3
435,System,false,0
436,System,true,3
437,System,true,2
438,System,false,1
439,System,false,3
440,System,true,1
441,System,true,3
442,System,false,3
443,Tester,false,3
444,Tester,false,3
445,Tester,false,3
446,Tester,true,3
447,Tester,false,0
448,Tester,true,3
449,Tester,true,1
450,Tester,false,2
451,Tester,false,3
452,Tester,true,0
453,Tester,true,3
454,Tester,false,3
455,System,true,3
456,System,false,3
457,System,false,3
458,System,true,3
459,Tester,false,3
460,Tester,true,3
461,Tester,true,3
462,Tester,true,3
463,System,true,3
464,System,false,3
465,System,false,3
466,System,true,3
467,Tester,false,3
468,Tester,false,3
469,Solver,true,3
470,Solver,true,3
471,Tester,true,3
472,Solver,false,3
473,Solver,false,3
474,Solver,true,3
475,Solver,false,3
476,Solver,false,3
477,Solver,true,3
478,Solver,false,3
479,Solver,true,3
480,Solver,true,3
481,Solver,true,3
482,Solver,true,1
483,Solver,false,1
484,Solver,false,3
485,Solver,true,3
486,Solver,false,3
487,Solver,true,2
488,Solver,false,2
489,Solver,true,3
490,Solver,false,3
491,Solver,true,1
492,Solver,false,1
493,Solver,false,3
494,Solver,true,3
495,Solver,false,1
496,Solver,true,0
497,Solver,false,3
498,Solver,false,3
499,Solver,false,3
500,Solver,false,3
501,Solver,false,3
502,Solver,false,3
503,Solver,false,3
504,Solver,false,3
505,Tester,false,3
506,Tester,true,3
507,Tester,false,3
508,Tester,false,3
509,Tester,true,3
510,Tester,false,3
511,Tester,true,3
512,Tester,false,3
513,Tester,true,3
514,Tester,true,3
515,Solver,false,3
516,Solver,true,3
517,Solver,false,3
518,Solver,false,3
519,Solver,true,3
520,Solver,false,3
521,Solver,true,3
522,Solver,false,3
523,Solver,true,3
524,Solver,true,3
525,Solver,true,1
526,Solver,false,1
527,Solver,false,3
528,Solver,true,3
529,Solver,false,3
530,Solver,true,2
531,Solver,false,2
532,Solver,true,3
533,Solver,false,3
534,Solver,true,0
535,Solver,false,1
536,Solver,false,3
537,Solver,true,3
538,Solver,false,1
539,Solver,true,2
540,Solver,false,3
541,Solver,false,3
542,Solver,true,3
543,Solver,false,3
544,Solver,false,3
545,Solver,true,3
546,Solver,false,3
547,Solver,true,3
548,Solver,false,3
549,Solver,true,3
550,Solver,true,3
551,Solver,true,3
552,Solver,false,3
553,Solver,false,3
554,Solver,true,3
555,Solver,false,3
556,Solver,true,3
557,Solver,true,1
558,Solver,true,1
559,Solver,false,1
560,Solver,false,3
561,Solver,true,3
562,Solver,false,3
563,Solver,true,2
564,Solver,false,2
565,Solver,true,3
566,Solver,true,3
567,Solver,true,2
568,Solver,false,1
569,Solver,false,3
570,Solver,true,3
571,Solver,false,3
572,Solver,true,0
573,Solver,false,2
574,Tester,true,0
575,System,true,1
576,Solver,false,1
577,System,true,0
578,System,true,0
